,text,sentiment
0,Today I went to the Safe zone branch and dealt with the employee Rawda Hassan to send money to Wester Union and she was very pleasant to deal with and happily answered all of my inquiries.,2
1,"Brian E. Dela Vega of UAE EXCHANGE RAK Al Jazeera Branch . ""He was nice and kind teller and always smiling which is good to see. Not like the other look like they are not happy on their job . And also always ready to answer for some question even he is busy. He is absolutely good teller in that branch """,2
2,I have been to different exchange but UAE exchange in Jazeera Ras Al Khaimah gave the best treatment to their clients. Two thumbs up to them specially to Mr Brian A. Dela Vega who is very patient and kind to all his clients. Friendly yet professional.,2
3,I would like to thank the fast and accurate service received from UAE Exchange Matajer Al Juraina Branch especial mention to Vanessa. I feel easy when she explain to me on how my fund transfer and how long it takes to reflect. She listens and attends my queries properly. Thank you UAE exchange for a great service.,2
4,Thank' s for the good and fast services it is better to continue our money transaction with this kind of services in UAE exchange Ras al khaima.. and also I would like to thanks for a warm and kind as a good like brother to me.. Mr Brian e. dela vega of uae exchange ras al khaima for threating like a brother and closest like a relatives to me..especially for the fast services that is done..more power to the company.. it is my pleasure.. to act like a long time customer..thank you.. again... highly appreciate...,2
5,UAE exchange sajja2 branch provided excellent service especially relating to my queries relating to ONLINE transfer or money,2
6,Thank you Mr. Shinove P for introducing your product and services. It was a great experience from Emirates head quarters UAE exchange branch. Defenitely i will suggest my friends to visit and experience the same.,2
7,Had a great experience from emirates headquaters uae exchange branch. Thank you Mr. Shinov P. for introducing your product and services. I appreciate and suggest my friend to visit.,2
8,"The staff from this company are very hospital; Specially the ones in the Al Ain branch. Criss From Al Falah plaza branch, Al Ain is just like a sister to me and we thoroughly enjoy her company. Therefore, our experience has been satisfyable everytime we visit.",2
9,thanks to analiza and kristine of al rigga metro for treating me so nicely everday,2
10,Excellent Service @ Jebel Ali Parco 2 Branch.,2
11,Only Al Ain Alfalfa Plaza UAE Exchange All Staff Very Very very Good Service Mr: Abdurahiman My Number: 0503391303,2
12,"I was a customer of main branch, after Ms criss Varghese moved to Al falah plaza, I m a customer of alfalah Br, She is Friendly,very helpful, approachable, especially smiley face. Very good customer services also",2
13,Koshy Thomas is an excellent service provider from green community branch.,2
14,"I take this opportunity as a privilege to share my experience with UAE Exchange and its Staffs. I had an Exceptional and Outstanding Customer Experience with this company Since many years.I would like to take out the name of the staff who had made this more memorable and meaningful ,Especially Staff named SHANU MOIDEEN from Sharja Airport Branch.The main point to highlight here is his Smile and Respectful nature. He used to treat us like a Good friend rather than a normal customer. He always gives us the best possible FC and Exchange Rates than anybody. His Elegance and Class in dealing with customers are Remarkable and purely Professional .His speed and Accuracy in Finishing the Deals are Outstanding. So i would like to give him and the company the Best Star Rates.",2
15,I am a regular customer of UAE Exchange (Sharjah Airport Branch) and I would like to appreciate the prompt and customer friendly service provided by your staff Shanu Moideen who has complete knowledge about different services. Thank you for your good service.,2
16,I made a transaction yesterday in your Al Nahda Branch and found the services rendered by Sreekutty was excellent.,2
17,I am a customer for Omanuaexchange and I am getting better support and services from Safeer mall outlet. Expecially Rajesh Rajan I wish him and Safeer mall staffs all the best,2
18,I would like to acknowledge the fast and accurate service received from Uae Exchange Matajer Al Juraina Branch especially to staff John Velasco. It is very difficult to find someone who is willing to take an extra mile to explain how my fund transfer request works and how long it takes to reflect etc. Other exchange dont even care to talk to customers and just want to do there work without listening or attending to customer properly. Thank you UAE exchange for your great service.,2
19,"Thanks UAE Exchange for an easy and quick transaction. Good Job for Ms. Mar Mar Legaspi ID 8507 (Teller). She explained and assist me on how I can pay my SSS, Philhealth and Pag ibig Contribution. You deserved a 5 stars for an excellent customer service. Keep it up!",2
20,"Robins, in safe zone branch he was found good customer relationship..And he doing immediate response or quick actions..Thanking you",2
21,"Good Service from Sajja 2 Branch, today I visited this branch I am so happy and congratulate your staff for the support and guidance , its really help and happy moments Ratan and Prajith served nicely feel to tell this is good office Ganesh",2
22,"Veda Shetty handled my transaction very nicely, as my bank refused to accept my money transfer, she figured out what was wrong and resubmitted successfully whike I was away from UAE. Thanks to Veda and UAE Exchange.",2
23,"To be honest , your branch in Tabarbour is the most helping one that I have experienced specialy ""Mutaz"" because he always gives me the excellent service and support in the shortest time. Thanks to UAE Exchange.",2
24,The service was great and the treatment was quesess and especially the employee Ahmed Riad,2
25,"Tabarboor branch is great, especially Mutaz who runs the branch. Great serbice at minimum time.",2
26,Springs Branch The service level here staff maintains is extraordinary.. The staff take total ownershio and help us with all our financial transaction. I would like to thank the springs branch for bein so polite and professionally.,2
27,I went to sajah branch UAE exchange very good services and dealings..,2
28,Experience with Sanjay of Matajer Juraina and Sijhu of Burjman branch was good.,2
29,Mr. Nurul Islam is a Very Very good staff in kalba branch. Always i'm getting excellent service from him. Wishing him bright Future.,2
30,OmanUaexchange Safeer mall is doing good in customer service and sending money across the globe. Mr Rajesh and team is very supportive to me. His team is excellent and I never face any problems with them My best wishes to All of them,2
31,I am using omanuaexchange- safeer mall for the past one year. I didn’t face any huddles in my remittances as well Mr Rajesh is very friendly and daily updating bank rates to me. I wish all the best for team nd Rajesh I will recommend my friends too,2
32,"Udika was very helpful with me, and the transaction did not take so long as i thought. Keep it up and hire more people like Udika.",2
33,I m customer of Jebel ali Parco 2 and I work in Drive Dubai. I m placed in same mall and I have seen staffa are very friendly and professionals. Branch Manager is seen inteeracting with staffs very friendly. Last time I had to pay my bill and branch was crowded with salary disbbursal but Manager helped me paying my bill.,2
34,"Hi UAE Exchange Sajja 2 Branch , good all staff helping , thanks , I am so happy your branch service and support Mr Prajith so Helping mentality and kind heart",2
35,I appreciate the staff sarita karki for warm welcoming and great customer service when i visit the branch recently. I suggest everyone of my friends to visit. Thanks,2
36,"I have experienced a very good & helpful service at Sajja-2 branch, Al sajja ind Area.",2
37,I am honestly telling that UAE exchange HFZ is the best exchange that I have ever seen and experienced. Because of very friendly staffs and good rates. Last seven years onwards I am dealing with HFZ branch. Mr.Vishnu Dutt helped me a lot everytime in case of any emergencies. Thanks and best wishes for this team.,2
38,Good service with greetings and smile in your juraina branch with mr khaled who spoke to me and explain about service for money transfer to Morocoo and about Gocash iam happy regular customer of uaeexchane because of this guy thanks khaled,2
39,Always getting excellent service from dragonmart branch,2
40,Cheryl at exhibition branch very friendly and the services are good Yo Uganda services should be improved they are abit slow which is disappointing,2
41,I'm regular customer of UAE Exchange Jebel Ali Parco 2 and I have been given good service over counter by all staffs. Staffs are friendly and helpful. Good luck,2
42,Excellent Service,2
43,i am.a regular customer for uae exchange jabel ali parco 2 i am.happy with service and staff thank you,2
44,Excellent support from Ms.Ramya . Thanks to UAE Exchange,2
45,It was very good visit and the staff very nice smile and fast Thanks,2
46,I am regualar customer in uae exchange jabelali parco 2 i am happy with service and supported and staff are very helpful and great thank you,2
47,Very good service,2
